departamento,codigo_dane,municipio,poblacion,homicidios,tasa_homicidios
ANTIOQUIA,5819,Toledo,4867,12,246.55845490034932
VALLE,76041,Ansermanuevo,17894,43,240.3040125181625
NARIÑO,52540,Policarpa,9905,22,222.1100454316002
CAUCA,19050,Argelia,27464,55,200.26216137489075
CAUCA,19300,Guachené,20320,40,196.8503937007874
ARAUCA,81591,Puerto Rondón,4673,9,192.59576289321635
ANTIOQUIA,5647,San Andrés de Cuerquía,7406,13,175.53335133675398
VALLE,76823,Toro,14973,26,173.6458959460362
ANTIOQUIA,5353,Hispania,5862,10,170.590242238144
VALLE,76243,El Águila,9210,15,162.86644951140065
ANTIOQUIA,5854,Valdivia,14927,24,160.7824747102566
VALLE,76100,Bolívar,16071,25,155.55970381432394
ANTIOQUIA,5576,Pueblorrico,9040,14,154.86725663716814
ANTIOQUIA,5040,Anorí,20688,32,154.67904098994586
CAUCA,19212,Corinto,27157,42,154.65625805501344
ANTIOQUIA,5604,Remedios,32457,50,154.04997381150443
ANTIOQUIA,5642,Salgar,18915,29,153.31747290510177
ANTIOQUIA,5091,Betania,10758,16,148.72652909462724
ANTIOQUIA,5101,Ciudad Bolívar,27391,39,142.38253440911248
ARAUCA,81794,Tame,46068,65,141.0957714682643
META,50325,Mapiripán,7280,10,137.36263736263737
CAQUETÁ,18610,San José del Fragua,13229,18,136.06470632700885
CHOCÓ,27660,San José del Palmar,5164,7,135.55383423702554
ANTIOQUIA,5120,Cáceres,29159,37,126.89049693062177
HUILA,41349,Hobo,7995,10,125.07817385866166
VALLE,76845,Ulloa,5636,7,124.2015613910575
ANTIOQUIA,5031,Amalfi,28716,35,121.88327065050842
CHOCÓ,27580,Río Iro,5747,7,121.80267965895248
VALLE,76020,Alcalá,14381,17,118.21152910089702
NARIÑO,52233,Cumbitara,5948,7,117.68661735036987
VALLE,76828,Trujillo,19948,23,115.29977942650892
ANTIOQUIA,5736,Segovia,39116,45,115.04243787708354
ANTIOQUIA,5809,Titiribí,11449,13,113.54703467551751
CAUCA,19532,Patía,38915,44,113.06694076834125
VALLE,76497,Obando,12572,14,111.35857461024499
BOLÍVAR,13688,Santa Rosa del Sur,33643,37,109.97830157833725
CAUCA,19845,Villa Rica,23298,25,107.30534809854923
VALLE,76563,Pradera,49776,53,106.47701703632272
VALLE,76400,La Unión,34777,36,103.51669206659574
NARIÑO,52786,Taminango,18398,19,103.27209479291228
CHOCÓ,27001,Quibdó (CT),140076,143,102.08743824780832
CAUCA,19573,Puerto Tejada,43471,44,101.21690322283821
CAUCA,19698,Santander de Quilichao,126198,127,100.6355092790694
PUTUMAYO,86320,Orito,38938,39,100.15922748985568
ANTIOQUIA,5790,Tarazá,29027,29,99.90698315361558
HUILA,41483,Nátaga,7007,7,99.9000999000999
RISARALDA,66687,Santuario,13026,13,99.8003992015968
BOLÍVAR,13744,Simití,18510,18,97.24473257698541
CAUCA,19110,Buenos Aires,33003,32,96.96088234402933
HUILA,41020,Algeciras,22769,22,96.6226009047389
MAGDALENA,47980,Zona Bananera,79037,76,96.15749585637107
CAUCA,19533,Piamonte,9705,9,92.73570324574962
CAUCA,19780,Suárez,37158,34,91.50115722051778
VALLE,76275,Florida,57543,52,90.36720365639609
VALLE,76054,Argelia,5543,5,90.20386072523904
ANTIOQUIA,5209,Concordia,22182,20,90.16319538364439
BOLÍVAR,13670,San Pablo,29026,26,89.57486391511058
ARAUCA,81065,Arauquita,53319,47,88.14868996042686
BOLÍVAR,13490,Norosí,12515,11,87.89452656811825
VALLE,76403,La Victoria,12681,11,86.74394763819888
HUILA,41359,Isnos,26521,23,86.72372836620038
VALLE,76895,Zarzal,43760,37,84.55210237659963
NORTE DE SANTANDER,54553,Puerto Santander,9525,8,83.98950131233596
ANTIOQUIA,5887,Yarumal,41862,35,83.60804548277675
ANTIOQUIA,5893,Yondó,21677,18,83.0373206624533
ANTIOQUIA,5756,Sonson,36144,30,83.00132802124834
TOLIMA,73675,San Antonio,13284,11,82.80638361939175
ANTIOQUIA,5847,Urrao,31776,26,81.82275931520645
GUAVIARE,95015,Calamar,9862,8,81.11944838775096
CALDAS,17524,Palestina,16059,13,80.95149137555265
ANTIOQUIA,5134,Campamento,9940,8,80.48289738430583
ANTIOQUIA,5154,Caucasia,93572,75,80.15218227674946
VALLE,76890,Yotoco,16743,13,77.64438869975511
ANTIOQUIA,5885,Yalí,7746,6,77.45933384972889
CAUCA,19290,Florencia,5213,4,76.73124880107424
ANTIOQUIA,5792,Tarso,6530,5,76.5696784073507
ANTIOQUIA,5658,San José de La Montaña,3963,3,75.7002271006813
VALLE,76250,El Dovio,9256,7,75.62662057044079
NARIÑO,52612,Ricaurte,22530,17,75.4549489569463
VALLE,76606,Restrepo,15926,12,75.34848675122441
VALLE,76147,Cartago,142792,107,74.93416998151157
CALDAS,17446,Marulanda,2685,2,74.487895716946
ANTIOQUIA,5858,Vegachí,12126,9,74.22068283028203
TOLIMA,73030,Ambalema,6761,5,73.95355716609969
ANTIOQUIA,5055,Argelia,8170,6,73.43941248470011
HUILA,41006,Acevedo,25976,19,73.14444102248228
ARAUCA,81220,Cravo Norte,4135,3,72.55139056831923
SANTANDER,68081,Barrancabermeja,226559,162,71.50455289792063
CHOCÓ,27491,Nóvita,9825,7,71.2468193384224
MAGDALENA,47189,Ciénaga,136851,96,70.14928645022688
NORTE DE SANTANDER,54261,El Zulia,31482,22,69.88120195667365
CHOCÓ,27810,Unión Panamericana,7202,5,69.42515967786726
TOLIMA,73275,Flandes,29056,20,68.83259911894274
CHOCÓ,27413,Lloró,10316,7,67.85575804575417
CAUCA,19455,Miranda,32570,22,67.54682222904513
CAUCA,19075,Balboa,22220,15,67.50675067506751
NORTE DE SANTANDER,54245,El Carmen,14851,10,67.33553296074338
VALLE,76318,Guacarí,34561,23,66.54900031827783
PUTUMAYO,86865,Valle del Guamuez,34604,23,66.46630447347128
CAUCA,19450,Mercaderes,25765,17,65.98098195226082
SANTANDER,68385,Landázuri,10619,7,65.91957811470006
MAGDALENA,47268,El Retén,21274,14,65.8080285794867
PUTUMAYO,86571,Puerto Guzmán,41134,27,65.63913064618077
ANTIOQUIA,5044,Anza,7628,5,65.54798112218144
ANTIOQUIA,5093,Betulia,16861,11,65.23930964948698
ANTIOQUIA,5036,Angelópolis,6149,4,65.05122784192552
ANTIOQUIA,5861,Venecia,12343,8,64.8140646520295
ANTIOQUIA,5086,Belmira,6193,4,64.58905215565962
CAUCA,19142,Caloto,31061,20,64.38942725604456
VALLE,76111,Guadalajara de Buga,132138,85,64.32668876477622
ANTIOQUIA,5138,Cañasgordas,15570,10,64.22607578676943
CAUCA,19821,Toribio,39282,25,63.6423807341785
PUTUMAYO,86569,Puerto Caicedo,17329,11,63.47740781349183
NARIÑO,52418,Los Andes,9553,6,62.80749502773998
CHOCÓ,27787,Tadó,19134,12,62.71558482282847
VALLE,76364,Jamundí,189878,119,62.671820853390074
ANTIOQUIA,5107,Briceño,8023,5,62.320827620590805
CHOCÓ,27372,Juradó,8260,5,60.53268765133172
CHOCÓ,27745,Sipí,3325,2,60.150375939849624
PUTUMAYO,86568,Puerto Asís,71540,43,60.10623427453174
CALDAS,17665,San José,5002,3,59.97600959616153
QUINDÍO,63470,Montenegro,37530,22,58.61977084998667
HUILA,41770,Suaza,25611,15,58.56858381164344
NORTE DE SANTANDER,54003,Abrego,35875,21,58.536585365853654
CAQUETÁ,18410,La Montañita,15382,9,58.50994669093746
TOLIMA,73624,Rovira,22305,13,58.28289621161174
VALLE,76248,El Cerrito,56819,33,58.07916366004329
CASANARE,85279,Recetor,1728,1,57.87037037037037
NORTE DE SANTANDER,54673,San Cayetano,8712,5,57.3921028466483
VALLE,76622,Roldanillo,38443,22,57.22758369534115
VALLE,76036,Andalucía,24590,14,56.933712891419276
VALLE,76246,El Cairo,7034,4,56.86664771111742
TOLIMA,73873,Villarrica,5280,3,56.81818181818181
ANTIOQUIA,5425,Maceo,8808,5,56.76657584014533
GUAVIARE,95200,Miraflores,7049,4,56.74563767910342
CESAR,20614,Río de Oro,19390,11,56.73027333677153
BOLÍVAR,13160,Cantagallo,8825,5,56.65722379603399
MAGDALENA,47288,Fundación,75360,42,55.73248407643312
MAGDALENA,47745,Sitionuevo,28889,16,55.3844023676832
CHOCÓ,27800,Unguía,12703,7,55.10509328505078
ANTIOQUIA,5761,Sopetrán,16366,9,54.992056702920685
CESAR,20238,El Copey,34776,19,54.63538072233724
QUINDÍO,63594,Quimbaya,31400,17,54.140127388535035
GUAJIRA,44001,Riohacha (CT),209292,113,53.991552472144186
MAGDALENA,47030,Algarrobo,18615,10,53.72011818426001
VALLE,76122,Caicedonia,30115,16,53.12966959986718
CAQUETÁ,18094,Belén de Los Andaquies,11371,6,52.76580775657374
CAUCA,19130,Cajibío,45786,24,52.4177696239025
VALLE,76736,Sevilla,43923,23,52.364364911322085
VALLE,76670,San Pedro,17270,9,52.11349160393746
ANTIOQUIA,5250,El Bagre,55742,29,52.02540274837644
META,50590,Puerto Rico,13492,7,51.882597094574564
ATLÁNTICO,8433,Malambo,149019,77,51.6712633959428
VALLE,76130,Candelaria,110619,57,51.528218479646355
HUILA,41357,Iquira,9715,5,51.4668039114771
GUAJIRA,44090,Dibulla,48596,25,51.44456333854639
CHOCÓ,27361,Istmina,35215,18,51.11458185432345
NARIÑO,52390,La Tola,7838,4,51.03342689461597
BOYACÁ,15442,Maripí,5887,3,50.959741803974865
HUILA,41530,Palestina,11821,6,50.7571271466035
HUILA,41551,Pitalito,140776,71,50.434733193157925
TOLIMA,73283,Fresno,31821,16,50.28126080261463
HUILA,41132,Campoalegre,31873,16,50.19922818686663
MAGDALENA,47570,Puebloviejo,34162,17,49.7628944441192
VALLE,76616,Riofrío,16128,8,49.6031746031746
CAUCA,19473,Morales,44523,22,49.41266311793905
CESAR,20178,Chiriguaná,32424,16,49.34616333580064
AMAZONAS,91407,Leticia (CT),4073,2,49.10385465259023
HUILA,41503,Oporapa,12309,6,48.74482086278333
HUILA,41801,Teruel,8237,4,48.561369430617944
ANTIOQUIA,5579,Puerto Berrío,39164,19,48.51394137473189
SANTANDER,68211,Contratación,4144,2,48.262548262548265
BOYACÁ,15572,Puerto Boyacá,47787,23,48.130244627199865
ANTIOQUIA,5361,Ituango,29342,14,47.71317565264808
CAUCA,19513,Padilla,10541,5,47.433829807418654
ANTIOQUIA,5002,Abejorral,21121,10,47.34624307561195
VALLE,76113,Bugalagrande,25391,12,47.26084045527943
CASANARE,85315,Sácama,2125,1,47.05882352941177
CHOCÓ,27050,Atrato,6409,3,46.809174598221254
NORTE DE SANTANDER,54398,La Playa,8582,4,46.60918200885575
ANTIOQUIA,5411,Liborina,10817,5,46.22353702505316
BOLÍVAR,13673,Santa Catalina,15213,7,46.013278117399594
PUTUMAYO,86757,San Miguel,19566,9,45.998160073597056
NORTE DE SANTANDER,54174,Chitagá,13208,6,45.42701393095094
ANTIOQUIA,5895,Zaragoza,26532,12,45.22840343735866
BOYACÁ,15109,Buenavista,4509,2,44.35573297848747
SANTANDER,68575,Puerto Wilches,36099,16,44.32255741156265
QUINDÍO,63401,La Tebaida,33885,15,44.26737494466578
ANTIOQUIA,5034,Andes,45212,20,44.236043528266826
CAUCA,19392,La Sierra,11305,5,44.22821760283061
ANTIOQUIA,5142,Caracolí,4538,2,44.072278536800354
SAN ANDRÉS,88001,San Andrés (CT),56965,25,43.88659703326604
ANTIOQUIA,5197,Cocorná,16062,7,43.581123147802266
HUILA,41319,Guadalupe,18490,8,43.26663061114115
NORTE DE SANTANDER,54810,Tibú,67062,29,43.243565655661925
VALLE,76869,Vijes,13893,6,43.18721658389117
NORTE DE SANTANDER,54480,Mutiscua,4636,2,43.14063848144953
PUTUMAYO,86885,Villagarzón,25576,11,43.009071004066314
BOLÍVAR,13473,Morales,25591,11,42.98386151381345
CÓRDOBA,23350,La Apartada,16297,7,42.95269067926612
CAUCA,19743,Silvia,39887,17,42.6204026374508
CALDAS,17442,Marmato,9394,4,42.58037044922291
ANTIOQUIA,5541,Peñol,23491,10,42.56949470009791
NARIÑO,52696,Santa Bárbara,14142,6,42.42681374628765
NORTE DE SANTANDER,54874,Villa del Rosario,123460,52,42.11890490847238
CÓRDOBA,23678,San Carlos,28745,12,41.746390676639415
BOLÍVAR,13873,Villanueva,28802,12,41.66377334907298
VALLE,76001,Cali (CT),2280171,950,41.66354190102409
ANTIOQUIA,5649,San Carlos,16912,7,41.390728476821195
VALLE,76834,Tuluá,224250,92,41.02564102564102
NARIÑO,52405,Leiva,9779,4,40.903977911851925
NARIÑO,52678,Samaniego,29401,12,40.81493826740587
CESAR,20032,Astrea,22144,9,40.64306358381503
MAGDALENA,47053,Aracataca,44403,18,40.537801499898656
ANTIOQUIA,5664,San Pedro,22297,9,40.3641745526304
META,50573,Puerto López,32222,13,40.34510582831606
BOLÍVAR,13683,Santa Rosa,22371,9,40.23065575968888
VALLE,76863,Versalles,7457,3,40.23065575968888
HUILA,41799,Tello,12495,5,40.016006402561025
CAUCA,19256,El Tambo,57546,23,39.96802557953637
VALLE,76520,Palmira,378446,151,39.90001215497059
ANTIOQUIA,5190,Cisneros,10040,4,39.8406374501992
MAGDALENA,47551,Pivijay,40406,16,39.59807949314459
AMAZONAS,91001,Leticia (CT),53059,21,39.578582332874724
CUNDINAMARCA,25307,Girardot,103831,41,39.48724369407981
RISARALDA,66088,Belén de Umbría,25391,10,39.38403371273286
NARIÑO,52411,Linares,10242,4,39.05487209529389
ANTIOQUIA,5347,Heliconia,5126,2,39.01677721420211
ANTIOQUIA,5656,San Jerónimo,17982,7,38.92781670559448
ANTIOQUIA,5310,Gómez Plata,10301,4,38.831181438695275
NARIÑO,52022,Aldana,7748,3,38.71966959215281
CAUCA,19137,Caldono,43991,17,38.64426814575708
ATLÁNTICO,8001,Barranquilla (CT),1279120,493,38.54212270936269
SANTANDER,68190,Cimitarra,33782,13,38.48203185128175
BOLÍVAR,13580,Regidor,7810,3,38.41229193341869
VALLE,76892,Yumbo,114676,44,38.36896996756078
ANTIOQUIA,5313,Granada,10463,4,38.22995316830737
CASANARE,85125,Hato Corozal,13104,5,38.156288156288156
CAQUETÁ,18753,San Vicente del Caguán,52473,20,38.11484001295905
CESAR,20517,Pailitas,21068,8,37.97228023542814
TOLIMA,73043,Anzoátegui,10590,4,37.771482530689326
BOLÍVAR,13001,Cartagena (CT),1010408,381,37.707539924466154
BOYACÁ,15425,Macanal,5314,2,37.63643206624012
TOLIMA,73268,Espinal,71777,27,37.61650668041295
CÓRDOBA,23300,Cotorra,21334,8,37.49882816161995
CAUCA,19548,Piendamó,42676,16,37.491798669041145
NARIÑO,52687,San Lorenzo,18725,7,37.38317757009346
SANTANDER,68250,El Peñón,5351,2,37.376191366099796
QUINDÍO,63548,Pijao,5361,2,37.30647267300877
NORTE DE SANTANDER,54871,Villa Caro,5381,2,37.16781267422412
HUILA,41660,Saladoblanco,10768,4,37.14710252600297
CAUCA,19397,La Vega,24423,9,36.850509765385084
CAUCA,19100,Bolívar,38005,14,36.8372582554927
ANTIOQUIA,5030,Amagá,32595,12,36.81546249424758
BOLÍVAR,13654,San Jacinto,27176,10,36.79717397703857
NORTE DE SANTANDER,54001,Cúcuta (CT),790984,291,36.78961900619987
ANTIOQUIA,5483,Nariño,10906,4,36.677058499908306
CESAR,20621,La Paz,32751,12,36.64010259228726
BOYACÁ,15533,Paya,2735,1,36.56307129798903
ANTIOQUIA,5234,Dabeiba,24651,9,36.50967506389193
VALLE,76233,Dagua,57738,21,36.371194014340645
TOLIMA,73854,Valle de San Juan,5503,2,36.34381246592768
CALDAS,17616,Risaralda,11157,4,35.85193152281079
CESAR,20060,Bosconia,47690,17,35.64688613965192
CUNDINAMARCA,25662,San Juan de Río Seco,8423,3,35.61676362341208
BOYACÁ,15757,Socha,8424,3,35.612535612535616
CUNDINAMARCA,25281,Fosca,5631,2,35.51767004084532
CALDAS,17013,Aguadas,22674,8,35.28270265502338
TOLIMA,73200,Coello,8536,3,35.14526710402999
ATLÁNTICO,8758,Soledad,710269,248,34.91634859468736
TOLIMA,73236,Dolores,8594,3,34.908075401442865
TOLIMA,73443,Mariquita,40114,14,34.90053347958319
ANTIOQUIA,5667,San Rafael,17222,6,34.83915921495762
SANTANDER,68264,Encino,2898,1,34.50655624568668
MAGDALENA,47001,Santa Marta (CT),574486,198,34.465591850802284
BOLÍVAR,13244,El Carmen de Bolívar,76463,26,34.00337418097642
HUILA,41524,Palermo,26677,9,33.736926940810434
TOLIMA,73686,Santa Isabel,5933,2,33.70975897522333
NARIÑO,52435,Mallama,8934,3,33.5795836131632
ATLÁNTICO,8573,Puerto Colombia,62582,21,33.55597456137547
CALDAS,17174,Chinchiná,51007,17,33.328758797812064
BOYACÁ,15790,Tasco,6012,2,33.266799733865604
TOLIMA,73555,Planadas,27075,9,33.2409972299169
ARAUCA,81001,Arauca (CT),90619,30,33.10564009755129
SANTANDER,68296,Galán,3063,1,32.6477309826967
META,50711,Vistahermosa,18421,6,32.57152163291895
TOLIMA,73319,Guamo,33796,11,32.54823055982957
NARIÑO,52693,San Pablo,15407,5,32.452781203349126
CESAR,20013,Agustín Codazzi,67850,22,32.42446573323508
CALDAS,17495,Norcasia,6171,2,32.40965807810728
ANTIOQUIA,5284,Frontino,21716,7,32.23429729231903
ANTIOQUIA,5038,Angostura,12413,4,32.22428099573028
ANTIOQUIA,5890,Yolombó,24828,8,32.22168519413565
QUINDÍO,63272,Filandia,12418,4,32.211306168465136
ARAUCA,81736,Saravena,58996,19,32.205573259204016
NARIÑO,52399,La Unión,34338,11,32.034480750189296
SANTANDER,68655,Sabana de Torres,37531,12,31.973568516692865
CALDAS,17777,Supía,31325,10,31.923383878691137
CAQUETÁ,18256,El Paujil,18838,6,31.85051491665782
NARIÑO,52083,Belén,6288,2,31.806615776081426
CESAR,20011,Aguachica,132237,42,31.76115610608226
BOYACÁ,15776,Sutamarchán,6304,2,31.725888324873093
CHOCÓ,27006,Acandí,15963,5,31.322433126605276
NARIÑO,52356,Ipiales,121440,38,31.291172595520422
CAQUETÁ,18785,Solita,6398,2,31.259768677711783
SUCRE,70708,San Marcos,64076,20,31.212934640114863
HUILA,41396,La Plata,67536,21,31.094527363184078
NARIÑO,52256,El Rosario,12872,4,31.075201988812925
CÓRDOBA,23168,Chimá,19407,6,30.91667954861648
ANTIOQUIA,5679,Santa Bárbara,29171,9,30.852559048369958
CAUCA,19785,Sucre,9756,3,30.75030750307503
CESAR,20383,La Gloria,19514,6,30.747155888080353
RISARALDA,66001,Pereira (CT),486042,149,30.655786948453017
ANTIOQUIA,5628,Sabanalarga,9827,3,30.52813676605271
NARIÑO,52385,La Llanada,6565,2,30.46458492003046
META,50350,La Macarena,29571,9,30.435223698894184
PUTUMAYO,86573,Puerto Leguízamo,36170,11,30.411943599668234
TOLIMA,73152,Casabianca,6590,2,30.349013657056144
NARIÑO,52224,Cuaspud,9889,3,30.336737789463037
CAQUETÁ,18247,El Doncello,19817,6,30.277034869051825
META,50568,Puerto Gaitán,53006,16,30.185262045806137
ANTIOQUIA,5686,Santa Rosa de Osos,39788,12,30.15984719010757
NARIÑO,52215,Córdoba,16735,5,29.877502240812667
ANTIOQUIA,5690,Santo Domingo,13434,4,29.77519726068185
TOLIMA,73067,Ataco,20279,6,29.587257754327137
GUAVIARE,95001,San José del Guaviare (CT),54315,16,29.45779250667403
BOYACÁ,15673,San Mateo,3397,1,29.437739181630853
SUCRE,70473,Morroa,17030,5,29.35995302407516
CAQUETÁ,18592,Puerto Rico,27339,8,29.262226123852376
QUINDÍO,63690,Salento,10264,3,29.228371005455966
CALDAS,17380,La Dorada,72044,21,29.14885347842985
CESAR,20550,Pelaya,24204,7,28.920839530656092
NARIÑO,52585,Pupiales,17327,5,28.85669763952213
CESAR,20710,San Alberto,31199,9,28.847078432001023
RISARALDA,66440,Marsella,17421,5,28.700993054359678
ANTIOQUIA,5315,Guadalupe,6975,2,28.67383512544803
MAGDALENA,47703,San Zenón,13973,4,28.626637085808348
CAUCA,19517,Paez,52403,15,28.62431540178997
CÓRDOBA,23466,Montelíbano,87467,25,28.58220814707261
NARIÑO,52079,Barbacoas,63548,18,28.325045634795746
ANTIOQUIA,5172,Chigorodó,56758,16,28.189858698333275
ANTIOQUIA,5318,Guarne,64068,18,28.095148904289193
META,50577,Puerto Lleras,10704,3,28.026905829596412
CAQUETÁ,18860,Valparaíso,7156,2,27.94857462269424
CAQUETÁ,18150,Cartagena del Chairá,32224,9,27.929493545183718
CHOCÓ,27075,Bahía Solano,10756,3,27.891409445890663
CALDAS,17486,Neira,21568,6,27.81899109792285
ANTIOQUIA,5148,El Carmen de Viboral,68325,19,27.808269301134285
META,50680,San Carlos de Guaroa,14424,4,27.731558513588467
ANTIOQUIA,5113,Buriticá,10848,3,27.654867256637168
SUCRE,70221,Coveñas,21748,6,27.588743792532647
TOLIMA,73148,Carmen de Apicalá,10895,3,27.535566773749427
CASANARE,85400,Támara,7293,2,27.42355683532154
BOLÍVAR,13052,Arjona,73374,20,27.257611688063893
CUNDINAMARCA,25489,Nimaima,3674,1,27.218290691344585
TOLIMA,73408,Lérida,18514,5,27.00658960786432
CESAR,20770,San Martín,33351,9,26.98569758028245
NARIÑO,52250,El Charco,22396,6,26.79049830326844
SANTANDER,68162,Cerrito,7482,2,26.73082063619353
ANTIOQUIA,5045,Apartadó,124423,33,26.52242752545751
CESAR,20175,Chimichagua,37732,10,26.502703275734124
NORTE DE SANTANDER,54109,Bucarasica,7559,2,26.458526260087314
TOLIMA,73347,Herveo,7598,2,26.322716504343248
SANTANDER,68745,Simacota,11483,3,26.125576939824086
NARIÑO,52490,Olaya Herrera,26822,7,26.097979270747892
VALLE,76126,Calima,19194,5,26.049807231426488
CESAR,20045,Becerril,26931,7,25.992350822472247
ATLÁNTICO,8520,Palmar de Varela,34647,9,25.97627500216469
QUINDÍO,63302,Génova,7723,2,25.896672277612325
RISARALDA,66383,La Celia,7749,2,25.80978190734288
CAUCA,19418,López,19491,5,25.65286542506798
SUCRE,70265,Guaranda,19509,5,25.629196780972887
ANTIOQUIA,5079,Barbosa,62506,16,25.597542635906954
QUINDÍO,63130,Calarca,74545,19,25.487960292440807
META,50330,Mesetas,11781,3,25.464731347084285
BOLÍVAR,13006,Achí,27507,7,25.448067764569018
ANTIOQUIA,5697,El Santuario,39396,10,25.383287643415578
ANTIOQUIA,5150,Carolina,3947,1,25.33569799847986
ANTIOQUIA,5400,La Unión,23718,6,25.297242600556537
HUILA,41668,San Agustín,35620,9,25.266704098820885
TOLIMA,73270,Falan,7948,2,25.163563160543532
TOLIMA,73616,Rioblanco,23853,6,25.154068670607472
CUNDINAMARCA,25740,Sibaté,40013,10,24.99187763976708
CAUCA,19622,Rosas,12028,3,24.94180246092451
ARAUCA,81300,Fortul,20073,5,24.909081851242963
HUILA,41797,Tesalia,12047,3,24.902465344069064
AMAZONAS,91798,Leticia (CT),4018,1,24.888003982080637
ANTIOQUIA,5042,Santafé de Antioquia,28130,7,24.884464984002843
META,50318,Guamal,16202,4,24.68831008517467
BOLÍVAR,13600,Río Viejo,12277,3,24.43593711818848
BOYACÁ,15507,Otanche,8190,2,24.42002442002442
RISARALDA,66682,Santa Rosa de Cabal,83030,20,24.087679152113694
CESAR,20250,El Paso,45704,11,24.067915280938212
VALLE,76109,Buenaventura,328686,79,24.035097326932085
MAGDALENA,47245,El Banco,75024,18,23.99232245681382
NORTE DE SANTANDER,54385,La Esperanza,12516,3,23.969319271332694
NARIÑO,52110,Buesaco,25040,6,23.961661341853034
SANTANDER,68820,Tona,8362,2,23.91772303276728
CHOCÓ,27600,Río Quito,8434,2,23.713540431586438
HUILA,41298,Garzón,76079,18,23.659616977089605
META,50251,El Castillo,8473,2,23.60439041661749
